X,Y,Z,Yaw
-0.00022669973180323988,-0.0044308931457781656,-0.06320072804011229,-0.007473799712974602
-0.0002266266861315029,-0.004430930245641125,-0.06320072124892465,-0.007473633580492594
-0.00022661854666105284,-0.004430894033980903,-0.06320072508699828,-0.007473799861365607
-0.00022654532796013808,-0.004430931797303271,-0.06320071840453953,-0.007473630489070091
-0.00022669973180323988,-0.0044308931457781656,-0.06320072804011229,-0.007473799712974602
-0.0002266266861315029,-0.004430930245641125,-0.06320072124892465,-0.007473633580492594
-0.00022661854666105284,-0.004430894033980903,-0.06320072508699828,-0.007473799861365607
-0.00022653526487320837,-0.004430894587099565,-0.06320072169758478,-0.007473795580908271
-0.00022654532796013808,-0.004430931797303271,-0.06320071840453953,-0.007473630489070091
-0.00022646119855563446,-0.004430931351145938,-0.06320071492053012,-0.007473629558810552
-0.0002264504073511489,-0.004430892166134261,-0.06320071788115242,-0.007473785282840088
-0.00022637717652546595,-0.004430929227967981,-0.06320071118884188,-0.007473624323479375
-0.00022653526487320837,-0.004430894587099565,-0.06320072169758478,-0.007473795580908271
-0.00022636809855447124,-0.004430893326951693,-0.06320071500167063,-0.007473796986969738
-0.00022646119855563446,-0.004430931351145938,-0.06320071492053012,-0.007473629558810552
-0.0002264504073511489,-0.004430892166134261,-0.06320071788115242,-0.007473785282840088
-0.00022637717652546595,-0.004430929227967981,-0.06320071118884188,-0.007473624323479375
-0.00022629476887424567,-0.004430930949767046,-0.06320070854120699,-0.007473626273616491
-0.00022636809855447124,-0.004430893326951693,-0.06320071500167063,-0.007473796986969738
-0.00022628592396449314,-0.004430893537950897,-0.0632007120536277,-0.007473786997436819
-0.00022629476887424567,-0.004430930949767046,-0.06320070854120699,-0.007473626273616491
-0.00022628592396449314,-0.004430893537950897,-0.0632007120536277,-0.007473786997436819
-0.0002262132159642962,-0.004430931081853592,-0.06320070503872191,-0.007473613666474512
-0.00022620255934468515,-0.004430892037256651,-0.06320070796260902,-0.007473770477546562
-0.0002262132159642962,-0.004430931081853592,-0.06320070503872191,-0.007473613666474512
-0.00022612883625734714,-0.004430931627784154,-0.06320070137882236,-0.0074736131709984424
-0.00022611957443234403,-0.004430895497834344,-0.06320070520007504,-0.007473785399646924
-0.00022620255934468515,-0.004430892037256651,-0.06320070796260902,-0.007473770477546562
-0.00022612883625734714,-0.004430931627784154,-0.06320070137882236,-0.0074736131709984424
-0.0002260455908941715,-0.004430932823500079,-0.06320069880989188,-0.007473616831853595
-0.00022611957443234403,-0.004430895497834344,-0.06320070520007504,-0.007473785399646924
-0.0002260352974256044,-0.004430894361149594,-0.06320070199139799,-0.007473775871124155
-0.0002260455908941715,-0.004430932823500079,-0.06320069880989188,-0.007473616831853595
-0.0002260352974256044,-0.004430894361149594,-0.06320070199139799,-0.007473775871124155
-0.0002259620910623327,-0.004430929828538623,-0.06320069519088792,-0.007473608478421292
-0.0002259620910623327,-0.004430929828538623,-0.06320069519088792,-0.007473608478421292
-0.00022594417352722954,-0.004430874870517642,-0.06320069761198266,-0.007473686063550335
-0.00022594417352722954,-0.004430874870517642,-0.06320069761198266,-0.007473686063550335
-0.00022587312754939783,-0.004430916513630985,-0.06320069129851713,-0.007473536709833158
-0.00022586658237882737,-0.004430884728831689,-0.06320069473843826,-0.007473720758811939
-0.00022578942414959446,-0.00443092320875459,-0.06320068830397868,-0.007473569540945697
-0.0002257824863513263,-0.00443088960450249,-0.06320069216672783,-0.007473744774408438
-0.0002257086012298487,-0.004430928998999311,-0.06320068549811034,-0.007473576715053887
-0.00022587312754939783,-0.004430916513630985,-0.06320069129851713,-0.007473536709833158
-0.00022570006203676517,-0.0044308942091752165,-0.06320068914749494,-0.007473752077240487
-0.00022586658237882737,-0.004430884728831689,-0.06320069473843826,-0.007473720758811939
-0.00022578942414959446,-0.00443092320875459,-0.06320068830397868,-0.007473569540945697
-0.00022562494351881408,-0.004430931755955287,-0.06320068245703847,-0.007473590287982535
-0.00022561660890541707,-0.004430894746131769,-0.06320068599585549,-0.007473755273887889
-0.0002257824863513263,-0.00443088960450249,-0.06320069216672783,-0.007473744774408438
-0.0002257086012298487,-0.004430928998999311,-0.06320068549811034,-0.007473576715053887
-0.00022554387222084755,-0.004430931887741255,-0.06320067898091514,-0.007473583043515266
-0.00022570006203676517,-0.0044308942091752165,-0.06320068914749494,-0.007473752077240487
-0.00022562494351881408,-0.004430931755955287,-0.06320068245703847,-0.007473590287982535
-0.00022553351253765293,-0.0044308923098539885,-0.06320068181489488,-0.0074737404962437574
-0.00022561660890541707,-0.004430894746131769,-0.06320068599585549,-0.007473755273887889
-0.00022554387222084755,-0.004430931887741255,-0.06320067898091514,-0.007473583043515266
-0.00022553351253765293,-0.0044308923098539885,-0.06320068181489488,-0.0074737404962437574
-0.0002254596623400499,-0.004430931239190836,-0.06320067504642746,-0.007473581823087257
-0.0002254596623400499,-0.004430931239190836,-0.06320067504642746,-0.007473581823087257
-0.00022545112985094921,-0.00443089464222246,-0.06320067875440358,-0.007473753221206678
-0.00022545112985094921,-0.00443089464222246,-0.06320067875440358,-0.007473753221206678
